region,vintage,tech,output_comm,operator,factor,data_id
ON,2030,T_LDV_C_BEV150_EX,T_D_pkm_ldv_c,le,0.018861811,TRPHRON001
ON,2030,T_LDV_C_CNG_N,T_D_pkm_ldv_c,le,0.018861811,TRPHRON001
ON,2030,T_LDV_C_BEV150_N,T_D_pkm_ldv_c,le,0.018861811,TRPHRON001
ON,2030,T_LDV_C_GSL_PHEV50_N,T_D_pkm_ldv_c,le,0.018861811,TRPHRON001
ON,2035,T_LDV_C_GSL_N,T_D_pkm_ldv_c,ge,0.01791872,TRPHRON001
ON,2035,T_LDV_C_GSL_PHEV35_N,T_D_pkm_ldv_c,ge,0.01791872,TRPHRON002
ON,2035,T_LDV_C_BEV300_N,T_D_pkm_ldv_c,ge,0.01791872,TRPHRON003
ON,2035,T_LDV_C_DSL_N,T_D_pkm_ldv_c,ge,0.01791872,TRPHRON004
ON,2035,T_LDV_C_GSL_PHEV35_EX,T_D_pkm_ldv_c,ge,0.01791872,TRPHRON005
ON,2035,T_LDV_C_GSL_HEV_EX,T_D_pkm_ldv_c,ge,0.01791872,TRPHRON006
ON,2035,T_LDV_C_FCEV400_N,T_D_pkm_ldv_c,ge,0.01791872,TRPHRON007
ON,2035,T_LDV_C_BEV400_N,T_D_pkm_ldv_c,ge,0.01791872,TRPHRON008
ON,2035,T_LDV_C_DSL_EX,T_D_pkm_ldv_c,ge,0.01791872,TRPHRON009
ON,2035,T_LDV_C_BEV200_N,T_D_pkm_ldv_c,ge,0.01791872,TRPHRON010
ON,2035,T_LDV_C_GSL_EX,T_D_pkm_ldv_c,ge,0.01791872,TRPHRON011
ON,2035,T_LDV_C_GSL_HEV_N,T_D_pkm_ldv_c,ge,0.01791872,TRPHRON012
ON,2035,T_LDV_C_BEV150_EX,T_D_pkm_ldv_c,ge,0.01791872,TRPHRON013
ON,2035,T_LDV_C_CNG_N,T_D_pkm_ldv_c,ge,0.01791872,TRPHRON014
ON,2035,T_LDV_C_BEV150_N,T_D_pkm_ldv_c,ge,0.01791872,TRPHRON015
ON,2035,T_LDV_C_GSL_PHEV50_N,T_D_pkm_ldv_c,ge,0.01791872,TRPHRON016
ON,2035,T_LDV_C_GSL_N,T_D_pkm_ldv_c,le,0.018861811,TRPHRON001
ON,2035,T_LDV_C_GSL_PHEV35_N,T_D_pkm_ldv_c,le,0.018861811,TRPHRON001
ON,2035,T_LDV_C_BEV300_N,T_D_pkm_ldv_c,le,0.018861811,TRPHRON001
ON,2035,T_LDV_C_DSL_N,T_D_pkm_ldv_c,le,0.018861811,TRPHRON001
ON,2035,T_LDV_C_GSL_PHEV35_EX,T_D_pkm_ldv_c,le,0.018861811,TRPHRON001
ON,2035,T_LDV_C_GSL_HEV_EX,T_D_pkm_ldv_c,le,0.018861811,TRPHRON001
ON,2035,T_LDV_C_FCEV400_N,T_D_pkm_ldv_c,le,0.018861811,TRPHRON001
ON,2035,T_LDV_C_BEV400_N,T_D_pkm_ldv_c,le,0.018861811,TRPHRON001
ON,2035,T_LDV_C_DSL_EX,T_D_pkm_ldv_c,le,0.018861811,TRPHRON001
ON,2035,T_LDV_C_BEV200_N,T_D_pkm_ldv_c,le,0.018861811,TRPHRON001
ON,2035,T_LDV_C_GSL_EX,T_D_pkm_ldv_c,le,0.018861811,TRPHRON001
ON,2035,T_LDV_C_GSL_HEV_N,T_D_pkm_ldv_c,le,0.018861811,TRPHRON001
ON,2035,T_LDV_C_BEV150_EX,T_D_pkm_ldv_c,le,0.018861811,TRPHRON001
ON,2035,T_LDV_C_CNG_N,T_D_pkm_ldv_c,le,0.018861811,TRPHRON001
ON,2035,T_LDV_C_BEV150_N,T_D_pkm_ldv_c,le,0.018861811,TRPHRON001
ON,2035,T_LDV_C_GSL_PHEV50_N,T_D_pkm_ldv_c,le,0.018861811,TRPHRON001
ON,2040,T_LDV_C_GSL_N,T_D_pkm_ldv_c,ge,0.01791872,TRPHRON001
ON,2040,T_LDV_C_GSL_PHEV35_N,T_D_pkm_ldv_c,ge,0.01791872,TRPHRON002
ON,2040,T_LDV_C_BEV300_N,T_D_pkm_ldv_c,ge,0.01791872,TRPHRON003
ON,2040,T_LDV_C_DSL_N,T_D_pkm_ldv_c,ge,0.01791872,TRPHRON004
ON,2040,T_LDV_C_GSL_PHEV35_EX,T_D_pkm_ldv_c,ge,0.01791872,TRPHRON005
ON,2040,T_LDV_C_GSL_HEV_EX,T_D_pkm_ldv_c,ge,0.01791872,TRPHRON006
ON,2040,T_LDV_C_FCEV400_N,T_D_pkm_ldv_c,ge,0.01791872,TRPHRON007
ON,2040,T_LDV_C_BEV400_N,T_D_pkm_ldv_c,ge,0.01791872,TRPHRON008
ON,2040,T_LDV_C_DSL_EX,T_D_pkm_ldv_c,ge,0.01791872,TRPHRON009
ON,2040,T_LDV_C_BEV200_N,T_D_pkm_ldv_c,ge,0.01791872,TRPHRON010
ON,2040,T_LDV_C_GSL_EX,T_D_pkm_ldv_c,ge,0.01791872,TRPHRON011
ON,2040,T_LDV_C_GSL_HEV_N,T_D_pkm_ldv_c,ge,0.01791872,TRPHRON012
ON,2040,T_LDV_C_BEV150_EX,T_D_pkm_ldv_c,ge,0.01791872,TRPHRON013
ON,2040,T_LDV_C_CNG_N,T_D_pkm_ldv_c,ge,0.01791872,TRPHRON014
ON,2040,T_LDV_C_BEV150_N,T_D_pkm_ldv_c,ge,0.01791872,TRPHRON015
ON,2040,T_LDV_C_GSL_PHEV50_N,T_D_pkm_ldv_c,ge,0.01791872,TRPHRON016
ON,2040,T_LDV_C_GSL_N,T_D_pkm_ldv_c,le,0.018861811,TRPHRON001
ON,2040,T_LDV_C_GSL_PHEV35_N,T_D_pkm_ldv_c,le,0.018861811,TRPHRON001
ON,2040,T_LDV_C_BEV300_N,T_D_pkm_ldv_c,le,0.018861811,TRPHRON001
ON,2040,T_LDV_C_DSL_N,T_D_pkm_ldv_c,le,0.018861811,TRPHRON001
ON,2040,T_LDV_C_GSL_PHEV35_EX,T_D_pkm_ldv_c,le,0.018861811,TRPHRON001
ON,2040,T_LDV_C_GSL_HEV_EX,T_D_pkm_ldv_c,le,0.018861811,TRPHRON001
ON,2040,T_LDV_C_FCEV400_N,T_D_pkm_ldv_c,le,0.018861811,TRPHRON001
ON,2040,T_LDV_C_BEV400_N,T_D_pkm_ldv_c,le,0.018861811,TRPHRON001
ON,2040,T_LDV_C_DSL_EX,T_D_pkm_ldv_c,le,0.018861811,TRPHRON001
ON,2040,T_LDV_C_BEV200_N,T_D_pkm_ldv_c,le,0.018861811,TRPHRON001
ON,2040,T_LDV_C_GSL_EX,T_D_pkm_ldv_c,le,0.018861811,TRPHRON001
ON,2040,T_LDV_C_GSL_HEV_N,T_D_pkm_ldv_c,le,0.018861811,TRPHRON001
ON,2040,T_LDV_C_BEV150_EX,T_D_pkm_ldv_c,le,0.018861811,TRPHRON001
ON,2040,T_LDV_C_CNG_N,T_D_pkm_ldv_c,le,0.018861811,TRPHRON001
ON,2040,T_LDV_C_BEV150_N,T_D_pkm_ldv_c,le,0.018861811,TRPHRON001
ON,2040,T_LDV_C_GSL_PHEV50_N,T_D_pkm_ldv_c,le,0.018861811,TRPHRON001
ON,2045,T_LDV_C_GSL_N,T_D_pkm_ldv_c,ge,0.01791872,TRPHRON001
ON,2045,T_LDV_C_GSL_PHEV35_N,T_D_pkm_ldv_c,ge,0.01791872,TRPHRON002
ON,2045,T_LDV_C_BEV300_N,T_D_pkm_ldv_c,ge,0.01791872,TRPHRON003
ON,2045,T_LDV_C_DSL_N,T_D_pkm_ldv_c,ge,0.01791872,TRPHRON004
ON,2045,T_LDV_C_GSL_PHEV35_EX,T_D_pkm_ldv_c,ge,0.01791872,TRPHRON005
ON,2045,T_LDV_C_GSL_HEV_EX,T_D_pkm_ldv_c,ge,0.01791872,TRPHRON006
ON,2045,T_LDV_C_FCEV400_N,T_D_pkm_ldv_c,ge,0.01791872,TRPHRON007
ON,2045,T_LDV_C_BEV400_N,T_D_pkm_ldv_c,ge,0.01791872,TRPHRON008
ON,2045,T_LDV_C_DSL_EX,T_D_pkm_ldv_c,ge,0.01791872,TRPHRON009
ON,2045,T_LDV_C_BEV200_N,T_D_pkm_ldv_c,ge,0.01791872,TRPHRON010
ON,2045,T_LDV_C_GSL_EX,T_D_pkm_ldv_c,ge,0.01791872,TRPHRON011
ON,2045,T_LDV_C_GSL_HEV_N,T_D_pkm_ldv_c,ge,0.01791872,TRPHRON012
ON,2045,T_LDV_C_BEV150_EX,T_D_pkm_ldv_c,ge,0.01791872,TRPHRON013
ON,2045,T_LDV_C_CNG_N,T_D_pkm_ldv_c,ge,0.01791872,TRPHRON014
ON,2045,T_LDV_C_BEV150_N,T_D_pkm_ldv_c,ge,0.01791872,TRPHRON015
ON,2045,T_LDV_C_GSL_PHEV50_N,T_D_pkm_ldv_c,ge,0.01791872,TRPHRON016
ON,2045,T_LDV_C_GSL_N,T_D_pkm_ldv_c,le,0.018861811,TRPHRON001
ON,2045,T_LDV_C_GSL_PHEV35_N,T_D_pkm_ldv_c,le,0.018861811,TRPHRON001
ON,2045,T_LDV_C_BEV300_N,T_D_pkm_ldv_c,le,0.018861811,TRPHRON001
ON,2045,T_LDV_C_DSL_N,T_D_pkm_ldv_c,le,0.018861811,TRPHRON001
ON,2045,T_LDV_C_GSL_PHEV35_EX,T_D_pkm_ldv_c,le,0.018861811,TRPHRON001
ON,2045,T_LDV_C_GSL_HEV_EX,T_D_pkm_ldv_c,le,0.018861811,TRPHRON001
ON,2045,T_LDV_C_FCEV400_N,T_D_pkm_ldv_c,le,0.018861811,TRPHRON001
ON,2045,T_LDV_C_BEV400_N,T_D_pkm_ldv_c,le,0.018861811,TRPHRON001
ON,2045,T_LDV_C_DSL_EX,T_D_pkm_ldv_c,le,0.018861811,TRPHRON001
ON,2045,T_LDV_C_BEV200_N,T_D_pkm_ldv_c,le,0.018861811,TRPHRON001
ON,2045,T_LDV_C_GSL_EX,T_D_pkm_ldv_c,le,0.018861811,TRPHRON001
ON,2045,T_LDV_C_GSL_HEV_N,T_D_pkm_ldv_c,le,0.018861811,TRPHRON001
ON,2045,T_LDV_C_BEV150_EX,T_D_pkm_ldv_c,le,0.018861811,TRPHRON001
ON,2045,T_LDV_C_CNG_N,T_D_pkm_ldv_c,le,0.018861811,TRPHRON001
ON,2045,T_LDV_C_BEV150_N,T_D_pkm_ldv_c,le,0.018861811,TRPHRON001
ON,2045,T_LDV_C_GSL_PHEV50_N,T_D_pkm_ldv_c,le,0.018861811,TRPHRON001
ON,2050,T_LDV_C_GSL_N,T_D_pkm_ldv_c,ge,0.01791872,TRPHRON001
ON,2050,T_LDV_C_GSL_PHEV35_N,T_D_pkm_ldv_c,ge,0.01791872,TRPHRON002
ON,2050,T_LDV_C_BEV300_N,T_D_pkm_ldv_c,ge,0.01791872,TRPHRON003
ON,2050,T_LDV_C_DSL_N,T_D_pkm_ldv_c,ge,0.01791872,TRPHRON004
ON,2050,T_LDV_C_GSL_PHEV35_EX,T_D_pkm_ldv_c,ge,0.01791872,TRPHRON005
ON,2050,T_LDV_C_GSL_HEV_EX,T_D_pkm_ldv_c,ge,0.01791872,TRPHRON006
ON,2050,T_LDV_C_FCEV400_N,T_D_pkm_ldv_c,ge,0.01791872,TRPHRON007
ON,2050,T_LDV_C_BEV400_N,T_D_pkm_ldv_c,ge,0.01791872,TRPHRON008
ON,2050,T_LDV_C_DSL_EX,T_D_pkm_ldv_c,ge,0.01791872,TRPHRON009
ON,2050,T_LDV_C_BEV200_N,T_D_pkm_ldv_c,ge,0.01791872,TRPHRON010
ON,2050,T_LDV_C_GSL_EX,T_D_pkm_ldv_c,ge,0.01791872,TRPHRON011
ON,2050,T_LDV_C_GSL_HEV_N,T_D_pkm_ldv_c,ge,0.01791872,TRPHRON012
ON,2050,T_LDV_C_BEV150_EX,T_D_pkm_ldv_c,ge,0.01791872,TRPHRON013
ON,2050,T_LDV_C_CNG_N,T_D_pkm_ldv_c,ge,0.01791872,TRPHRON014
ON,2050,T_LDV_C_BEV150_N,T_D_pkm_ldv_c,ge,0.01791872,TRPHRON015
ON,2050,T_LDV_C_GSL_PHEV50_N,T_D_pkm_ldv_c,ge,0.01791872,TRPHRON016
ON,2050,T_LDV_C_GSL_N,T_D_pkm_ldv_c,le,0.018861811,TRPHRON001
ON,2050,T_LDV_C_GSL_PHEV35_N,T_D_pkm_ldv_c,le,0.018861811,TRPHRON001
ON,2050,T_LDV_C_BEV300_N,T_D_pkm_ldv_c,le,0.018861811,TRPHRON001
ON,2050,T_LDV_C_DSL_N,T_D_pkm_ldv_c,le,0.018861811,TRPHRON001
ON,2050,T_LDV_C_GSL_PHEV35_EX,T_D_pkm_ldv_c,le,0.018861811,TRPHRON001
ON,2050,T_LDV_C_GSL_HEV_EX,T_D_pkm_ldv_c,le,0.018861811,TRPHRON001
ON,2050,T_LDV_C_FCEV400_N,T_D_pkm_ldv_c,le,0.018861811,TRPHRON001
ON,2050,T_LDV_C_BEV400_N,T_D_pkm_ldv_c,le,0.018861811,TRPHRON001
ON,2050,T_LDV_C_DSL_EX,T_D_pkm_ldv_c,le,0.018861811,TRPHRON001
ON,2050,T_LDV_C_BEV200_N,T_D_pkm_ldv_c,le,0.018861811,TRPHRON001
ON,2050,T_LDV_C_GSL_EX,T_D_pkm_ldv_c,le,0.018861811,TRPHRON001
ON,2050,T_LDV_C_GSL_HEV_N,T_D_pkm_ldv_c,le,0.018861811,TRPHRON001
ON,2050,T_LDV_C_BEV150_EX,T_D_pkm_ldv_c,le,0.018861811,TRPHRON001
ON,2050,T_LDV_C_CNG_N,T_D_pkm_ldv_c,le,0.018861811,TRPHRON001
ON,2050,T_LDV_C_BEV150_N,T_D_pkm_ldv_c,le,0.018861811,TRPHRON001
ON,2050,T_LDV_C_GSL_PHEV50_N,T_D_pkm_ldv_c,le,0.018861811,TRPHRON001
