region,tech,vintage,cost,notes
AB,T_MDV_CHRG,2030,164.3259817,"Weighted average of 50 kW, 150 kW, and 350 kW DCFC plus extra transmission system upgrades as per Borlaug et al. 2021."
AB,T_MDV_CHRG,2035,164.3259817,"Weighted average of 50 kW, 150 kW, and 350 kW DCFC plus extra transmission system upgrades as per Borlaug et al. 2021."
AB,T_MDV_CHRG,2040,164.3259817,"Weighted average of 50 kW, 150 kW, and 350 kW DCFC plus extra transmission system upgrades as per Borlaug et al. 2021."
AB,T_MDV_CHRG,2045,164.3259817,"Weighted average of 50 kW, 150 kW, and 350 kW DCFC plus extra transmission system upgrades as per Borlaug et al. 2021."
AB,T_MDV_CHRG,2050,164.3259817,"Weighted average of 50 kW, 150 kW, and 350 kW DCFC plus extra transmission system upgrades as per Borlaug et al. 2021."
AB,T_HDV_CHRG,2025,164.3259817,"Weighted average of 50 kW, 150 kW, and 350 kW DCFC plus extra transmission system upgrades as per Borlaug et al. 2021."
AB,T_HDV_CHRG,2030,164.3259817,"Weighted average of 50 kW, 150 kW, and 350 kW DCFC plus extra transmission system upgrades as per Borlaug et al. 2021."
AB,T_HDV_CHRG,2035,164.3259817,"Weighted average of 50 kW, 150 kW, and 350 kW DCFC plus extra transmission system upgrades as per Borlaug et al. 2021."
AB,T_HDV_CHRG,2040,164.3259817,"Weighted average of 50 kW, 150 kW, and 350 kW DCFC plus extra transmission system upgrades as per Borlaug et al. 2021."
AB,T_HDV_CHRG,2045,164.3259817,"Weighted average of 50 kW, 150 kW, and 350 kW DCFC plus extra transmission system upgrades as per Borlaug et al. 2021."
AB,T_HDV_CHRG,2050,164.3259817,"Weighted average of 50 kW, 150 kW, and 350 kW DCFC plus extra transmission system upgrades as per Borlaug et al. 2021."
BC,T_LDV_BEV_CHRG,2025,66.91,"Weighted average of L2 home, L2 public and DCFC installation and capital costs in the US as per Borlaug et al. 2020. Assumes equal weights across all charger types."
BC,T_LDV_BEV_CHRG,2030,52.57731612,"Weighted average of L2 home, L2 public and DCFC installation and capital costs in the US as per Borlaug et al. 2020. Assumes equal weights across all charger types."
BC,T_LDV_BEV_CHRG,2035,52.57731612,"Weighted average of L2 home, L2 public and DCFC installation and capital costs in the US as per Borlaug et al. 2020. Assumes equal weights across all charger types."
BC,T_LDV_BEV_CHRG,2040,52.57731612,"Weighted average of L2 home, L2 public and DCFC installation and capital costs in the US as per Borlaug et al. 2020. Assumes equal weights across all charger types."
BC,T_LDV_BEV_CHRG,2045,52.57731612,"Weighted average of L2 home, L2 public and DCFC installation and capital costs in the US as per Borlaug et al. 2020. Assumes equal weights across all charger types."
BC,T_LDV_BEV_CHRG,2050,52.57731612,"Weighted average of L2 home, L2 public and DCFC installation and capital costs in the US as per Borlaug et al. 2020. Assumes equal weights across all charger types."
BC,T_LDV_PHEV_CHRG,2025,66.91,"Weighted average of L2 home, L2 public and DCFC installation and capital costs in the US as per Borlaug et al. 2020. Assumes equal weights across all charger types."
BC,T_LDV_PHEV_CHRG,2030,52.57731612,"Weighted average of L2 home, L2 public and DCFC installation and capital costs in the US as per Borlaug et al. 2020. Assumes equal weights across all charger types."
BC,T_LDV_PHEV_CHRG,2035,52.57731612,"Weighted average of L2 home, L2 public and DCFC installation and capital costs in the US as per Borlaug et al. 2020. Assumes equal weights across all charger types."
BC,T_LDV_PHEV_CHRG,2040,52.57731612,"Weighted average of L2 home, L2 public and DCFC installation and capital costs in the US as per Borlaug et al. 2020. Assumes equal weights across all charger types."
BC,T_LDV_PHEV_CHRG,2045,52.57731612,"Weighted average of L2 home, L2 public and DCFC installation and capital costs in the US as per Borlaug et al. 2020. Assumes equal weights across all charger types."
BC,T_LDV_PHEV_CHRG,2050,52.57731612,"Weighted average of L2 home, L2 public and DCFC installation and capital costs in the US as per Borlaug et al. 2020. Assumes equal weights across all charger types."
BC,T_MDV_CHRG,2025,164.3259817,"Weighted average of 50 kW, 150 kW, and 350 kW DCFC plus extra transmission system upgrades as per Borlaug et al. 2021."
BC,T_MDV_CHRG,2030,164.3259817,"Weighted average of 50 kW, 150 kW, and 350 kW DCFC plus extra transmission system upgrades as per Borlaug et al. 2021."
BC,T_MDV_CHRG,2035,164.3259817,"Weighted average of 50 kW, 150 kW, and 350 kW DCFC plus extra transmission system upgrades as per Borlaug et al. 2021."
BC,T_MDV_CHRG,2040,164.3259817,"Weighted average of 50 kW, 150 kW, and 350 kW DCFC plus extra transmission system upgrades as per Borlaug et al. 2021."
BC,T_MDV_CHRG,2045,164.3259817,"Weighted average of 50 kW, 150 kW, and 350 kW DCFC plus extra transmission system upgrades as per Borlaug et al. 2021."
BC,T_MDV_CHRG,2050,164.3259817,"Weighted average of 50 kW, 150 kW, and 350 kW DCFC plus extra transmission system upgrades as per Borlaug et al. 2021."
BC,T_HDV_CHRG,2025,164.3259817,"Weighted average of 50 kW, 150 kW, and 350 kW DCFC plus extra transmission system upgrades as per Borlaug et al. 2021."
BC,T_HDV_CHRG,2030,164.3259817,"Weighted average of 50 kW, 150 kW, and 350 kW DCFC plus extra transmission system upgrades as per Borlaug et al. 2021."
BC,T_HDV_CHRG,2035,164.3259817,"Weighted average of 50 kW, 150 kW, and 350 kW DCFC plus extra transmission system upgrades as per Borlaug et al. 2021."
BC,T_HDV_CHRG,2040,164.3259817,"Weighted average of 50 kW, 150 kW, and 350 kW DCFC plus extra transmission system upgrades as per Borlaug et al. 2021."
BC,T_HDV_CHRG,2045,164.3259817,"Weighted average of 50 kW, 150 kW, and 350 kW DCFC plus extra transmission system upgrades as per Borlaug et al. 2021."
BC,T_HDV_CHRG,2050,164.3259817,"Weighted average of 50 kW, 150 kW, and 350 kW DCFC plus extra transmission system upgrades as per Borlaug et al. 2021."
QC,T_LDV_BEV_CHRG,2025,66.91,"Weighted average of L2 home, L2 public and DCFC installation and capital costs in the US as per Borlaug et al. 2020. Assumes equal weights across all charger types."
QC,T_LDV_BEV_CHRG,2030,52.57731612,"Weighted average of L2 home, L2 public and DCFC installation and capital costs in the US as per Borlaug et al. 2020. Assumes equal weights across all charger types."
QC,T_LDV_BEV_CHRG,2035,52.57731612,"Weighted average of L2 home, L2 public and DCFC installation and capital costs in the US as per Borlaug et al. 2020. Assumes equal weights across all charger types."
QC,T_LDV_BEV_CHRG,2040,52.57731612,"Weighted average of L2 home, L2 public and DCFC installation and capital costs in the US as per Borlaug et al. 2020. Assumes equal weights across all charger types."
QC,T_LDV_BEV_CHRG,2045,52.57731612,"Weighted average of L2 home, L2 public and DCFC installation and capital costs in the US as per Borlaug et al. 2020. Assumes equal weights across all charger types."
QC,T_LDV_BEV_CHRG,2050,52.57731612,"Weighted average of L2 home, L2 public and DCFC installation and capital costs in the US as per Borlaug et al. 2020. Assumes equal weights across all charger types."
QC,T_LDV_PHEV_CHRG,2025,66.91,"Weighted average of L2 home, L2 public and DCFC installation and capital costs in the US as per Borlaug et al. 2020. Assumes equal weights across all charger types."
QC,T_LDV_PHEV_CHRG,2030,52.57731612,"Weighted average of L2 home, L2 public and DCFC installation and capital costs in the US as per Borlaug et al. 2020. Assumes equal weights across all charger types."
QC,T_LDV_PHEV_CHRG,2035,52.57731612,"Weighted average of L2 home, L2 public and DCFC installation and capital costs in the US as per Borlaug et al. 2020. Assumes equal weights across all charger types."
QC,T_LDV_PHEV_CHRG,2040,52.57731612,"Weighted average of L2 home, L2 public and DCFC installation and capital costs in the US as per Borlaug et al. 2020. Assumes equal weights across all charger types."
QC,T_LDV_PHEV_CHRG,2045,52.57731612,"Weighted average of L2 home, L2 public and DCFC installation and capital costs in the US as per Borlaug et al. 2020. Assumes equal weights across all charger types."
QC,T_LDV_PHEV_CHRG,2050,52.57731612,"Weighted average of L2 home, L2 public and DCFC installation and capital costs in the US as per Borlaug et al. 2020. Assumes equal weights across all charger types."
QC,T_MDV_CHRG,2025,164.3259817,"Weighted average of 50 kW, 150 kW, and 350 kW DCFC plus extra transmission system upgrades as per Borlaug et al. 2021."
QC,T_MDV_CHRG,2030,164.3259817,"Weighted average of 50 kW, 150 kW, and 350 kW DCFC plus extra transmission system upgrades as per Borlaug et al. 2021."
QC,T_MDV_CHRG,2035,164.3259817,"Weighted average of 50 kW, 150 kW, and 350 kW DCFC plus extra transmission system upgrades as per Borlaug et al. 2021."
QC,T_MDV_CHRG,2040,164.3259817,"Weighted average of 50 kW, 150 kW, and 350 kW DCFC plus extra transmission system upgrades as per Borlaug et al. 2021."
QC,T_MDV_CHRG,2045,164.3259817,"Weighted average of 50 kW, 150 kW, and 350 kW DCFC plus extra transmission system upgrades as per Borlaug et al. 2021."
QC,T_MDV_CHRG,2050,164.3259817,"Weighted average of 50 kW, 150 kW, and 350 kW DCFC plus extra transmission system upgrades as per Borlaug et al. 2021."
QC,T_HDV_CHRG,2025,164.3259817,"Weighted average of 50 kW, 150 kW, and 350 kW DCFC plus extra transmission system upgrades as per Borlaug et al. 2021."
QC,T_HDV_CHRG,2030,164.3259817,"Weighted average of 50 kW, 150 kW, and 350 kW DCFC plus extra transmission system upgrades as per Borlaug et al. 2021."
QC,T_HDV_CHRG,2035,164.3259817,"Weighted average of 50 kW, 150 kW, and 350 kW DCFC plus extra transmission system upgrades as per Borlaug et al. 2021."
QC,T_HDV_CHRG,2040,164.3259817,"Weighted average of 50 kW, 150 kW, and 350 kW DCFC plus extra transmission system upgrades as per Borlaug et al. 2021."
QC,T_HDV_CHRG,2045,164.3259817,"Weighted average of 50 kW, 150 kW, and 350 kW DCFC plus extra transmission system upgrades as per Borlaug et al. 2021."
QC,T_HDV_CHRG,2050,164.3259817,"Weighted average of 50 kW, 150 kW, and 350 kW DCFC plus extra transmission system upgrades as per Borlaug et al. 2021."
MB,T_LDV_BEV_CHRG,2025,66.91,"Weighted average of L2 home, L2 public and DCFC installation and capital costs in the US as per Borlaug et al. 2020. Assumes equal weights across all charger types."
MB,T_LDV_BEV_CHRG,2030,52.57731612,"Weighted average of L2 home, L2 public and DCFC installation and capital costs in the US as per Borlaug et al. 2020. Assumes equal weights across all charger types."
MB,T_LDV_BEV_CHRG,2035,52.57731612,"Weighted average of L2 home, L2 public and DCFC installation and capital costs in the US as per Borlaug et al. 2020. Assumes equal weights across all charger types."
MB,T_LDV_BEV_CHRG,2040,52.57731612,"Weighted average of L2 home, L2 public and DCFC installation and capital costs in the US as per Borlaug et al. 2020. Assumes equal weights across all charger types."
MB,T_LDV_BEV_CHRG,2045,52.57731612,"Weighted average of L2 home, L2 public and DCFC installation and capital costs in the US as per Borlaug et al. 2020. Assumes equal weights across all charger types."
MB,T_LDV_BEV_CHRG,2050,52.57731612,"Weighted average of L2 home, L2 public and DCFC installation and capital costs in the US as per Borlaug et al. 2020. Assumes equal weights across all charger types."
MB,T_LDV_PHEV_CHRG,2025,66.91,"Weighted average of L2 home, L2 public and DCFC installation and capital costs in the US as per Borlaug et al. 2020. Assumes equal weights across all charger types."
MB,T_LDV_PHEV_CHRG,2030,52.57731612,"Weighted average of L2 home, L2 public and DCFC installation and capital costs in the US as per Borlaug et al. 2020. Assumes equal weights across all charger types."
MB,T_LDV_PHEV_CHRG,2035,52.57731612,"Weighted average of L2 home, L2 public and DCFC installation and capital costs in the US as per Borlaug et al. 2020. Assumes equal weights across all charger types."
MB,T_LDV_PHEV_CHRG,2040,52.57731612,"Weighted average of L2 home, L2 public and DCFC installation and capital costs in the US as per Borlaug et al. 2020. Assumes equal weights across all charger types."
MB,T_LDV_PHEV_CHRG,2045,52.57731612,"Weighted average of L2 home, L2 public and DCFC installation and capital costs in the US as per Borlaug et al. 2020. Assumes equal weights across all charger types."
MB,T_LDV_PHEV_CHRG,2050,52.57731612,"Weighted average of L2 home, L2 public and DCFC installation and capital costs in the US as per Borlaug et al. 2020. Assumes equal weights across all charger types."
MB,T_MDV_CHRG,2025,164.3259817,"Weighted average of 50 kW, 150 kW, and 350 kW DCFC plus extra transmission system upgrades as per Borlaug et al. 2021."
MB,T_MDV_CHRG,2030,164.3259817,"Weighted average of 50 kW, 150 kW, and 350 kW DCFC plus extra transmission system upgrades as per Borlaug et al. 2021."
MB,T_MDV_CHRG,2035,164.3259817,"Weighted average of 50 kW, 150 kW, and 350 kW DCFC plus extra transmission system upgrades as per Borlaug et al. 2021."
MB,T_MDV_CHRG,2040,164.3259817,"Weighted average of 50 kW, 150 kW, and 350 kW DCFC plus extra transmission system upgrades as per Borlaug et al. 2021."
MB,T_MDV_CHRG,2045,164.3259817,"Weighted average of 50 kW, 150 kW, and 350 kW DCFC plus extra transmission system upgrades as per Borlaug et al. 2021."
MB,T_MDV_CHRG,2050,164.3259817,"Weighted average of 50 kW, 150 kW, and 350 kW DCFC plus extra transmission system upgrades as per Borlaug et al. 2021."
MB,T_HDV_CHRG,2025,164.3259817,"Weighted average of 50 kW, 150 kW, and 350 kW DCFC plus extra transmission system upgrades as per Borlaug et al. 2021."
MB,T_HDV_CHRG,2030,164.3259817,"Weighted average of 50 kW, 150 kW, and 350 kW DCFC plus extra transmission system upgrades as per Borlaug et al. 2021."
MB,T_HDV_CHRG,2035,164.3259817,"Weighted average of 50 kW, 150 kW, and 350 kW DCFC plus extra transmission system upgrades as per Borlaug et al. 2021."
MB,T_HDV_CHRG,2040,164.3259817,"Weighted average of 50 kW, 150 kW, and 350 kW DCFC plus extra transmission system upgrades as per Borlaug et al. 2021."
MB,T_HDV_CHRG,2045,164.3259817,"Weighted average of 50 kW, 150 kW, and 350 kW DCFC plus extra transmission system upgrades as per Borlaug et al. 2021."
MB,T_HDV_CHRG,2050,164.3259817,"Weighted average of 50 kW, 150 kW, and 350 kW DCFC plus extra transmission system upgrades as per Borlaug et al. 2021."
SK,T_LDV_BEV_CHRG,2025,66.91,"Weighted average of L2 home, L2 public and DCFC installation and capital costs in the US as per Borlaug et al. 2020. Assumes equal weights across all charger types."
SK,T_LDV_BEV_CHRG,2030,52.57731612,"Weighted average of L2 home, L2 public and DCFC installation and capital costs in the US as per Borlaug et al. 2020. Assumes equal weights across all charger types."
SK,T_LDV_BEV_CHRG,2035,52.57731612,"Weighted average of L2 home, L2 public and DCFC installation and capital costs in the US as per Borlaug et al. 2020. Assumes equal weights across all charger types."
SK,T_LDV_BEV_CHRG,2040,52.57731612,"Weighted average of L2 home, L2 public and DCFC installation and capital costs in the US as per Borlaug et al. 2020. Assumes equal weights across all charger types."
SK,T_LDV_BEV_CHRG,2045,52.57731612,"Weighted average of L2 home, L2 public and DCFC installation and capital costs in the US as per Borlaug et al. 2020. Assumes equal weights across all charger types."
SK,T_LDV_BEV_CHRG,2050,52.57731612,"Weighted average of L2 home, L2 public and DCFC installation and capital costs in the US as per Borlaug et al. 2020. Assumes equal weights across all charger types."
SK,T_LDV_PHEV_CHRG,2025,66.91,"Weighted average of L2 home, L2 public and DCFC installation and capital costs in the US as per Borlaug et al. 2020. Assumes equal weights across all charger types."
SK,T_LDV_PHEV_CHRG,2030,52.57731612,"Weighted average of L2 home, L2 public and DCFC installation and capital costs in the US as per Borlaug et al. 2020. Assumes equal weights across all charger types."
SK,T_LDV_PHEV_CHRG,2035,52.57731612,"Weighted average of L2 home, L2 public and DCFC installation and capital costs in the US as per Borlaug et al. 2020. Assumes equal weights across all charger types."
SK,T_LDV_PHEV_CHRG,2040,52.57731612,"Weighted average of L2 home, L2 public and DCFC installation and capital costs in the US as per Borlaug et al. 2020. Assumes equal weights across all charger types."
SK,T_LDV_PHEV_CHRG,2045,52.57731612,"Weighted average of L2 home, L2 public and DCFC installation and capital costs in the US as per Borlaug et al. 2020. Assumes equal weights across all charger types."
SK,T_LDV_PHEV_CHRG,2050,52.57731612,"Weighted average of L2 home, L2 public and DCFC installation and capital costs in the US as per Borlaug et al. 2020. Assumes equal weights across all charger types."
SK,T_MDV_CHRG,2025,164.3259817,"Weighted average of 50 kW, 150 kW, and 350 kW DCFC plus extra transmission system upgrades as per Borlaug et al. 2021."
SK,T_MDV_CHRG,2030,164.3259817,"Weighted average of 50 kW, 150 kW, and 350 kW DCFC plus extra transmission system upgrades as per Borlaug et al. 2021."
SK,T_MDV_CHRG,2035,164.3259817,"Weighted average of 50 kW, 150 kW, and 350 kW DCFC plus extra transmission system upgrades as per Borlaug et al. 2021."
SK,T_MDV_CHRG,2040,164.3259817,"Weighted average of 50 kW, 150 kW, and 350 kW DCFC plus extra transmission system upgrades as per Borlaug et al. 2021."
SK,T_MDV_CHRG,2045,164.3259817,"Weighted average of 50 kW, 150 kW, and 350 kW DCFC plus extra transmission system upgrades as per Borlaug et al. 2021."
SK,T_MDV_CHRG,2050,164.3259817,"Weighted average of 50 kW, 150 kW, and 350 kW DCFC plus extra transmission system upgrades as per Borlaug et al. 2021."
SK,T_HDV_CHRG,2025,164.3259817,"Weighted average of 50 kW, 150 kW, and 350 kW DCFC plus extra transmission system upgrades as per Borlaug et al. 2021."
SK,T_HDV_CHRG,2030,164.3259817,"Weighted average of 50 kW, 150 kW, and 350 kW DCFC plus extra transmission system upgrades as per Borlaug et al. 2021."
SK,T_HDV_CHRG,2035,164.3259817,"Weighted average of 50 kW, 150 kW, and 350 kW DCFC plus extra transmission system upgrades as per Borlaug et al. 2021."
SK,T_HDV_CHRG,2040,164.3259817,"Weighted average of 50 kW, 150 kW, and 350 kW DCFC plus extra transmission system upgrades as per Borlaug et al. 2021."
SK,T_HDV_CHRG,2045,164.3259817,"Weighted average of 50 kW, 150 kW, and 350 kW DCFC plus extra transmission system upgrades as per Borlaug et al. 2021."
SK,T_HDV_CHRG,2050,164.3259817,"Weighted average of 50 kW, 150 kW, and 350 kW DCFC plus extra transmission system upgrades as per Borlaug et al. 2021."
NLLAB,T_LDV_BEV_CHRG,2025,66.91,"Weighted average of L2 home, L2 public and DCFC installation and capital costs in the US as per Borlaug et al. 2020. Assumes equal weights across all charger types."
NLLAB,T_LDV_BEV_CHRG,2030,52.57731612,"Weighted average of L2 home, L2 public and DCFC installation and capital costs in the US as per Borlaug et al. 2020. Assumes equal weights across all charger types."
NLLAB,T_LDV_BEV_CHRG,2035,52.57731612,"Weighted average of L2 home, L2 public and DCFC installation and capital costs in the US as per Borlaug et al. 2020. Assumes equal weights across all charger types."
NLLAB,T_LDV_BEV_CHRG,2040,52.57731612,"Weighted average of L2 home, L2 public and DCFC installation and capital costs in the US as per Borlaug et al. 2020. Assumes equal weights across all charger types."
NLLAB,T_LDV_BEV_CHRG,2045,52.57731612,"Weighted average of L2 home, L2 public and DCFC installation and capital costs in the US as per Borlaug et al. 2020. Assumes equal weights across all charger types."
NLLAB,T_LDV_BEV_CHRG,2050,52.57731612,"Weighted average of L2 home, L2 public and DCFC installation and capital costs in the US as per Borlaug et al. 2020. Assumes equal weights across all charger types."
NLLAB,T_LDV_PHEV_CHRG,2025,66.91,"Weighted average of L2 home, L2 public and DCFC installation and capital costs in the US as per Borlaug et al. 2020. Assumes equal weights across all charger types."
NLLAB,T_LDV_PHEV_CHRG,2030,52.57731612,"Weighted average of L2 home, L2 public and DCFC installation and capital costs in the US as per Borlaug et al. 2020. Assumes equal weights across all charger types."
NLLAB,T_LDV_PHEV_CHRG,2035,52.57731612,"Weighted average of L2 home, L2 public and DCFC installation and capital costs in the US as per Borlaug et al. 2020. Assumes equal weights across all charger types."
NLLAB,T_LDV_PHEV_CHRG,2040,52.57731612,"Weighted average of L2 home, L2 public and DCFC installation and capital costs in the US as per Borlaug et al. 2020. Assumes equal weights across all charger types."
NLLAB,T_LDV_PHEV_CHRG,2045,52.57731612,"Weighted average of L2 home, L2 public and DCFC installation and capital costs in the US as per Borlaug et al. 2020. Assumes equal weights across all charger types."
NLLAB,T_LDV_PHEV_CHRG,2050,52.57731612,"Weighted average of L2 home, L2 public and DCFC installation and capital costs in the US as per Borlaug et al. 2020. Assumes equal weights across all charger types."
NLLAB,T_MDV_CHRG,2025,164.3259817,"Weighted average of 50 kW, 150 kW, and 350 kW DCFC plus extra transmission system upgrades as per Borlaug et al. 2021."
NLLAB,T_MDV_CHRG,2030,164.3259817,"Weighted average of 50 kW, 150 kW, and 350 kW DCFC plus extra transmission system upgrades as per Borlaug et al. 2021."
NLLAB,T_MDV_CHRG,2035,164.3259817,"Weighted average of 50 kW, 150 kW, and 350 kW DCFC plus extra transmission system upgrades as per Borlaug et al. 2021."
NLLAB,T_MDV_CHRG,2040,164.3259817,"Weighted average of 50 kW, 150 kW, and 350 kW DCFC plus extra transmission system upgrades as per Borlaug et al. 2021."
NLLAB,T_MDV_CHRG,2045,164.3259817,"Weighted average of 50 kW, 150 kW, and 350 kW DCFC plus extra transmission system upgrades as per Borlaug et al. 2021."
NLLAB,T_MDV_CHRG,2050,164.3259817,"Weighted average of 50 kW, 150 kW, and 350 kW DCFC plus extra transmission system upgrades as per Borlaug et al. 2021."
NLLAB,T_HDV_CHRG,2025,164.3259817,"Weighted average of 50 kW, 150 kW, and 350 kW DCFC plus extra transmission system upgrades as per Borlaug et al. 2021."
NLLAB,T_HDV_CHRG,2030,164.3259817,"Weighted average of 50 kW, 150 kW, and 350 kW DCFC plus extra transmission system upgrades as per Borlaug et al. 2021."
NLLAB,T_HDV_CHRG,2035,164.3259817,"Weighted average of 50 kW, 150 kW, and 350 kW DCFC plus extra transmission system upgrades as per Borlaug et al. 2021."
NLLAB,T_HDV_CHRG,2040,164.3259817,"Weighted average of 50 kW, 150 kW, and 350 kW DCFC plus extra transmission system upgrades as per Borlaug et al. 2021."
NLLAB,T_HDV_CHRG,2045,164.3259817,"Weighted average of 50 kW, 150 kW, and 350 kW DCFC plus extra transmission system upgrades as per Borlaug et al. 2021."
